,propertyCode,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,newDevelopmentFinished,typology_inmo,hasparking,parking_price_included,parking_price,zipcode
8792,99483520.0,4,400000.0,flat,sale,200.0,True,5.0,2,Calle Granados,Málaga,Málaga,es,36.7241413,-4.4191487,1108.0,True,renew,False,True,2000.0,True,False,False,False,False,False,True,urban,False,False,0.0,29012
8793,99483540.0,1,248000.0,flat,sale,120.0,False,4.0,1,Calle LAS FLORES,Madrid,Pozuelo de Alarcón,es,40.4348147,-3.8124411,9456.0,False,renew,False,False,2067.0,False,False,False,False,False,False,True,urban,False,False,0.0,28223
8794,99483620.0,1,310000.0,flat,sale,90.0,False,1.0,1,barrio Sant Pere - Santa Caterina i la Ribera,Barcelona,Barcelona,es,41.3844029,2.1801893,893.0,False,good,False,True,3444.0,True,False,True,False,False,False,True,urban,False,False,0.0,08003
8795,99483736.0,2,240000.0,flat,sale,118.0,True,4.0,2,Calle de Marcelo Usera,Madrid,Madrid,es,40.3845617,-3.7051447,3610.0,False,good,False,False,2034.0,False,False,False,False,False,False,True,urban,False,False,0.0,28026
8796,99483980.0,7,180000.0,flat,sale,61.0,True,3.0,1,"Selva de Mar, 236",Barcelona,Barcelona,es,41.4176678,2.1977353,2910.0,False,good,False,True,2951.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8797,99484170.0,bj,147000.0,duplex,sale,120.0,True,4.0,2,barrio El Esparragal,Murcia,Murcia,es,38.0368603,-1.0770613,6492.0,False,good,False,False,1225.0,False,False,False,False,False,False,True,residential,True,True,0.0,30163
8798,99484200.0,bj,990000.0,flat,sale,126.0,False,2.0,2,barrio El Gòtic,Barcelona,Barcelona,es,41.3837041,2.1717083,391.0,True,good,False,True,7857.0,True,False,True,False,False,False,True,urban,False,False,0.0,08002
8799,99484320.0,bj,250000.0,chalet,sale,256.0,False,3.0,3,La Selva del Camp,Tarragona,La Selva del Camp,es,41.2164755,1.1377287,7267.0,False,good,False,True,977.0,False,False,False,False,False,False,True,urban,False,False,0.0,43470
8800,99484380.0,5,177000.0,flat,sale,70.0,False,3.0,1,Igualdad,Barcelona,Hospitalet de Llobregat,es,41.3596891,2.1255657,4271.0,False,good,False,True,2529.0,False,False,False,False,False,False,True,urban,False,False,0.0,08902
8801,99484680.0,5,575000.0,penthouse,sale,90.0,True,2.0,1,Calle de la Canuda,Barcelona,Barcelona,es,41.3836837,2.1739674,492.0,True,good,False,True,6389.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8802,99484770.0,bj,150000.0,countryHouse,sale,211.0,False,4.0,1,Calle Ifach,València,València,es,39.4456885,-0.3335025,4828.0,False,renew,False,True,711.0,False,False,False,False,False,False,True,rural,False,False,0.0,46024
8803,99484910.0,2,330000.0,flat,sale,128.0,True,3.0,1,Calle del Carme,Barcelona,Barcelona,es,41.3795553,2.1659005,904.0,False,good,False,False,2578.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8804,99484980.0,3,215000.0,flat,sale,92.0,True,3.0,2,barrio Iturralde,Vizcaya,Bilbao,es,43.2574238,-2.9168165,1643.0,True,good,False,True,2337.0,False,False,False,False,False,False,True,urban,False,False,0.0,48006
8805,99485016.0,4,285000.0,flat,sale,62.0,False,2.0,2,barrio San Pedro de Deusto,Vizcaya,Bilbao,es,43.2752178,-2.9526274,1895.0,False,good,False,True,4597.0,True,False,False,False,False,False,True,urban,True,True,0.0,48014
8806,99485080.0,8,710000.0,flat,sale,110.0,True,4.0,2,barrio Pedralbes,Barcelona,Barcelona,es,41.3896596,2.1236468,3884.0,True,good,False,True,6455.0,True,False,True,False,False,False,True,urban,True,True,0.0,08034
8807,99485170.0,2,165000.0,flat,sale,75.0,True,3.0,1,barrio Bellvitge,Barcelona,Hospitalet de Llobregat,es,41.3576119,2.113155,5161.0,False,good,False,True,2200.0,True,False,False,False,False,False,True,urban,False,False,0.0,08907
8808,99485180.0,1,71500.0,flat,sale,75.0,True,2.0,1,Calle Vint-I-Un,Tarragona,Bonavista,es,41.1198275,1.1934384,8094.0,False,good,False,False,953.0,False,False,False,False,False,False,True,urban,False,False,0.0,43001
8809,99485220.0,1,175000.0,flat,sale,89.0,True,3.0,2,"FUSTER VALLDEPERES, 6",Tarragona,Reus,es,41.155747,1.1189326,861.0,False,good,False,True,1966.0,False,False,False,False,False,False,True,urban,True,True,0.0,43201
8810,99485310.0,1,330000.0,flat,sale,80.0,True,2.0,2,Pasaje Don Valentín Martínez,Málaga,Málaga,es,36.7256976,-4.4151575,1059.0,True,good,False,False,4125.0,False,False,False,False,False,False,True,urban,False,False,0.0,29012
8811,99485320.0,bj,269000.0,duplex,sale,93.0,True,3.0,2,Port Saplaya,València,Alboraya,es,39.5086111,-0.3246482,6257.0,True,good,False,True,2892.0,True,False,True,False,False,False,True,residential,False,False,0.0,46120
8812,99485350.0,bj,165000.0,flat,sale,75.0,True,3.0,1,Calle de França,Barcelona,Hospitalet de Llobregat,es,41.3552684,2.1109579,7874.0,False,good,False,True,2200.0,False,False,False,False,False,False,True,urban,False,False,0.0,08907
8813,99485590.0,bj,172000.0,flat,sale,97.0,True,3.0,3,Calle de Proción,Zaragoza,Zaragoza,es,41.6374041,-0.9262158,3566.0,False,good,False,True,1773.0,False,False,False,False,False,False,True,urban,True,True,0.0,50012
8814,99485860.0,9,185000.0,flat,sale,90.0,True,3.0,1,Calle Cáceres,Madrid,Alcorcón,es,40.3448781,-3.832187,13552.0,False,good,False,True,2056.0,False,False,False,False,False,False,True,urban,True,False,3500.0,28291
8815,99485864.0,2,285000.0,flat,sale,109.0,True,3.0,1,Calle del Carme,Barcelona,Barcelona,es,41.3803525,2.1649935,858.0,False,good,False,False,2615.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8816,99486010.0,bj,62000.0,flat,sale,76.0,True,3.0,1,Bloc Faig,Tarragona,Tarragona,es,41.126919,1.2124147,9223.0,False,good,False,False,816.0,False,False,False,False,False,False,True,urban,False,False,0.0,43001
8817,99486100.0,bj,199500.0,chalet,sale,99.0,False,3.0,1,Galdakao,Vizcaya,Galdakao,es,43.232454,-2.8289692,9276.0,False,good,False,True,2015.0,False,False,False,False,False,False,True,residential,True,True,0.0,48960
8818,99486270.0,3,155000.0,flat,sale,65.0,True,2.0,1,Calle de Navas del Rey,Madrid,Madrid,es,40.4083103,-3.7387617,3147.0,True,renew,False,False,2385.0,True,False,False,False,False,False,True,urban,False,False,0.0,28011
8819,99486370.0,1,139900.0,duplex,sale,215.0,True,4.0,3,barrio San José de la Vega,Murcia,Murcia,es,37.9646187,-1.081154,5522.0,False,good,False,False,651.0,False,False,False,False,False,False,True,residential,True,True,0.0,30570
8820,99486510.0,3,715000.0,flat,sale,109.0,True,3.0,2,Calle de Sicilia,Barcelona,Barcelona,es,41.3997478,2.1719516,1426.0,True,good,False,True,6560.0,True,False,True,False,False,False,True,urban,False,False,0.0,08001
8821,99486890.0,3,440000.0,penthouse,sale,84.0,True,1.0,1,El Gòtic s/n,Barcelona,Barcelona,es,41.3819247,2.1773052,830.0,False,renew,False,True,5238.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8822,99486900.0,7,360000.0,flat,sale,73.0,False,3.0,2,barrio Sant Gervasi - La Bonanova,Barcelona,Barcelona,es,41.4036318,2.1405602,3077.0,False,renew,False,True,4932.0,False,False,False,False,False,False,True,urban,False,False,0.0,08006
8823,99486940.0,1,187000.0,flat,sale,90.0,False,2.0,2,Calle Virgen del Carmen,Málaga,Rincón de la Victoria,es,36.7131794,-4.3096124,10193.0,False,good,False,True,2078.0,True,False,False,False,False,False,True,urban,False,False,0.0,29720
8824,99486984.0,2,50150.0,flat,sale,73.0,True,3.0,1,Bonavista,Tarragona,Bonavista,es,41.1203715,1.1908464,7875.0,False,good,False,True,687.0,False,False,False,False,False,False,True,urban,False,False,0.0,43001
8825,99487190.0,2,198000.0,flat,sale,80.0,True,3.0,2,Av. Adelaida,Tarragona,Cambrils,es,41.0776144,1.052612,9791.0,True,good,False,True,2475.0,True,False,True,False,False,False,True,urban,True,True,0.0,43850
8826,99487210.0,3,185000.0,flat,sale,95.0,True,3.0,2,Calle Marcelino Castillo,Madrid,Madrid,es,40.3915792,-3.7439066,4433.0,True,good,False,True,1947.0,False,False,False,False,False,False,True,urban,False,False,0.0,28047
8827,99487280.0,3,175000.0,flat,sale,72.0,True,3.0,1,LANDABURU,Vizcaya,Barakaldo,es,43.2944479,-2.9883608,5488.0,False,good,False,True,2431.0,False,False,False,False,False,False,True,urban,False,False,0.0,48902
8828,99487304.0,5,295000.0,flat,sale,85.0,True,3.0,2,"Avenida de les Drassanes, 27",Barcelona,Barcelona,es,41.3765774,2.172311,1174.0,False,good,False,True,3471.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8829,99487360.0,1,193000.0,flat,sale,69.0,False,3.0,1,Calle de Violant d'Hongria Reina d'Aragó,Barcelona,Barcelona,es,41.3810791,2.1324347,3210.0,False,renew,False,True,2797.0,True,False,False,False,False,False,True,urban,False,False,0.0,08001
8830,99487490.0,bj,179000.0,chalet,sale,132.0,False,5.0,2,Passatge Turó de les Maleses,Barcelona,Badalona,es,41.4419384,2.2204901,6152.0,True,good,False,True,1356.0,True,False,False,False,False,False,True,residential,False,False,0.0,08911
8831,99487500.0,2,698000.0,flat,sale,135.0,True,2.0,2,El Gòtic s/n,Barcelona,Barcelona,es,41.3819247,2.1773052,827.0,False,renew,False,True,5170.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8832,99487530.0,5,183000.0,flat,sale,132.0,True,4.0,2,barrio Sant Isidre,València,València,es,39.4541279,-0.4062503,3025.0,False,good,False,True,1386.0,False,False,False,False,False,False,True,urban,False,False,0.0,46014
8833,99487560.0,4,310000.0,flat,sale,135.0,False,4.0,1,barrio Los Guindos - Parque Mediterráneo - Santa Paula,Málaga,Málaga,es,36.6953367,-4.4457045,4830.0,False,good,False,True,2296.0,False,False,False,False,False,False,True,urban,False,False,0.0,29004
8834,99487576.0,4,155000.0,flat,sale,127.0,True,2.0,1,Passatge Via Trajana A,Barcelona,Barcelona,es,41.4303811,2.2027459,4212.0,False,good,False,True,1220.0,False,False,True,False,False,False,True,urban,False,False,0.0,08001
